formula_i,chaos,spatial,spectral,msm,total_iso_ints,min_iso_ints,max_iso_ints,formula,fdr,moldb_id,chem_mod,neutral_loss,adduct
1062451,0.9985137457044674,0.6533665287863542,0.9586765684479143,0.6254362408411623,"[16236831744.0, 7204556800.0, 31705878.0, 18591424.0]","[0, 0, 0, 0]","[11351046.0, 5959877.0, 1271337.5, 5842295.0]",C42H82NO8P,0.1,22.0,-CO2+CO,,+H
1062452,0.9982826843937955,0.44640504651007296,0.9711849375816397,0.4327973290336485,"[569906495488.0, 212377567232.0, 47332696064.0, 12047232000.0]","[0, 0, 0, 0]","[489244672.0, 162935776.0, 39707836.0, 9445897.0]",C42H82NO8P,0.1,22.0,,,+H
1102904,0.9989366263613755,0.5214686165873652,0.8692571674051418,0.4528083155551389,"[25246042112.0, 3168836608.0, 0, 0]","[0, 0, 0, 0]","[18927654.0, 4917298.0, 0, 0]",C44H81O10P,0.1,22.0,,,+H
243090,0.9985731559854897,0.5435147934479619,0.9555475841474461,0.5186132103276748,"[15425554432.0, 0, 982540928.0, 696000.0]","[0, 0, 0, 0]","[16489728.0, 0, 2620030.25, 696000.0]",C15H22N6O5S,0.1,22.0,,,+H
1316721,0.9990339523541549,0.6957671497789225,0.9392387015557578,0.6528601304817782,"[34821697536.0, 21017585664.0, 1182141696.0, 0]","[0, 0, 0, 0]","[31357594.0, 18408690.0, 5485911.5, 0]",C58H96O6,0.1,22.0,,-H2O,+H
1288317,0.9983400767714493,0.5023432104744687,0.8947837544257787,0.4487424274036927,"[12520473600.0, 4723670016.0, 0, 0]","[0, 0, 0, 0]","[10464976.0, 5902535.5, 0, 0]",C55H94O6,0.1,22.0,,,+H
1059703,0.9985210711465288,0.6370813301209821,0.9415435145555622,0.5989526742401183,"[22294163456.0, 7885624320.0, 0, 0]","[0, 0, 0, 0]","[12290712.0, 4662815.5, 0, 0]",C42H78NO8P,0.1,22.0,-CO2+CO,,+H
370312,0.9991124916796095,0.5788296618771055,0.963461702242317,0.557185265512779,"[31849859072.0, 2663934208.0, 0, 11518061.0]","[0, 0, 0, 0]","[17765416.0, 2701459.0, 0, 958166.5]",C18H28O5,0.1,22.0,,,+H
1059703,0.9985210711465288,0.6370813301209821,0.9415435145555622,0.5989526742401183,"[22294163456.0, 7885624320.0, 0, 0]","[0, 0, 0, 0]","[12290712.0, 4662815.5, 0, 0]",C42H78NO7P,0.1,22.0,,,+H
1048476,0.9967935528120714,0.6848237077198546,0.8995611285580929,0.6140654851294666,"[6124821504.0, 1247340032.0, 8008552.0, 21415534.0]","[0, 0, 0, 0]","[18409998.0, 6271125.5, 943672.75, 1208541.25]",C42H63NO7,0.1,22.0,,-H2O,+H
1048476,0.9967935528120714,0.6848237077198546,0.8995611285580929,0.6140654851294666,"[6124821504.0, 1247340032.0, 8008552.0, 21415534.0]","[0, 0, 0, 0]","[18409998.0, 6271125.5, 943672.75, 1208541.25]",C42H61NO7,0.1,22.0,-CO2+CO,,+H
