id,name,formula,inchi,added by,comment
EMBL_dev1_198,DHB; 1*M+4*(M-H2O)-6*H+3*K+3*Na,C35H16Na3K3O16,,Theodore,DHB matrix cluster
EMBL_dev1_199,DHB; 1*M+5*(M-H2O)-0*H+0*K+0*Na,C42H26O19,,Theodore,DHB matrix cluster
EMBL_dev1_200,DHB; 1*M+5*(M-H2O)-1*H+0*K+1*Na,C42H25NaO19,,Theodore,DHB matrix cluster
EMBL_dev1_201,DHB; 1*M+5*(M-H2O)-2*H+0*K+2*Na,C42H24Na2O19,,Theodore,DHB matrix cluster
EMBL_dev1_202,DHB; 1*M+5*(M-H2O)-3*H+0*K+3*Na,C42H23Na3O19,,Theodore,DHB matrix cluster
EMBL_dev1_203,DHB; 1*M+5*(M-H2O)-1*H+1*K+0*Na,C42H25KO19,,Theodore,DHB matrix cluster
EMBL_dev1_204,DHB; 1*M+5*(M-H2O)-2*H+1*K+1*Na,C42H24NaKO19,,Theodore,DHB matrix cluster
EMBL_dev1_205,DHB; 1*M+5*(M-H2O)-3*H+1*K+2*Na,C42H23Na2KO19,,Theodore,DHB matrix cluster
EMBL_dev1_206,DHB; 1*M+5*(M-H2O)-4*H+1*K+3*Na,C42H22Na3KO19,,Theodore,DHB matrix cluster
EMBL_dev1_207,DHB; 1*M+5*(M-H2O)-2*H+2*K+0*Na,C42H24K2O19,,Theodore,DHB matrix cluster
EMBL_dev1_208,DHB; 1*M+5*(M-H2O)-3*H+2*K+1*Na,C42H23NaK2O19,,Theodore,DHB matrix cluster
EMBL_dev1_209,DHB; 1*M+5*(M-H2O)-4*H+2*K+2*Na,C42H22Na2K2O19,,Theodore,DHB matrix cluster
EMBL_dev1_210,DHB; 1*M+5*(M-H2O)-5*H+2*K+3*Na,C42H21Na3K2O19,,Theodore,DHB matrix cluster
EMBL_dev1_211,DHB; 1*M+5*(M-H2O)-3*H+3*K+0*Na,C42H23K3O19,,Theodore,DHB matrix cluster
EMBL_dev1_212,DHB; 1*M+5*(M-H2O)-4*H+3*K+1*Na,C42H22NaK3O19,,Theodore,DHB matrix cluster
EMBL_dev1_213,DHB; 1*M+5*(M-H2O)-5*H+3*K+2*Na,C42H21Na2K3O19,,Theodore,DHB matrix cluster
EMBL_dev1_214,DHB; 1*M+6*(M-H2O)-0*H+0*K+0*Na,C49H30O22,,Theodore,DHB matrix cluster
EMBL_dev1_215,DHB; 1*M+6*(M-H2O)-1*H+0*K+1*Na,C49H29NaO22,,Theodore,DHB matrix cluster
