id	formula	name
LMFA01020268	C17H32O2	14S-methyl-8Z-hexadecenoic acid
LMFA01020270	C9H18O2	6S-methyl-octanoic acid
LMFA01020272	C14H28O2	2,4,6,8-tetramethyl-decanoic acid
LMFA01020273	C38H76O2	2,4,6,8-tetramethyl-tetratriacontanoic acid
LMFA01020274	C5H8O3	3-methyl-2-oxo-butanoic acid
LMFA01020275	C6H10O3	3S-methyl-2-oxo-pentanoic acid
LMFA01020276	C6H10O3	3-oxo-4-methyl-pentanoic acid
LMFA01020277	C5H8O4	3-hydroxy-3-methyl-2-oxo-butanoic acid
LMFA01020278	C6H10O4	3-hydroxy-3-methyl-2-oxo-pentanoic acid
LMFA01020279	C16H26O3	10,11-epoxy-3,7,11-trimethyl-2E,6E-tridecadienoic acid
LMFA01020280	C6H10O3	2oxo-3R-methyl-pentanoic acid
LMFA01020281	C17H34O2	9,14-dimethylpentadecanoic acid
LMFA01020283	C8H16O2	3R-Methylheptanoic acid
LMFA01020285	C14H28O2	2,6,10-trimethyl-undecanoic acid
LMFA01020288	C11H22O2	4,8-dimethyl-nonanoic acid
LMFA01020289	C16H32O2	13,13-dimethyl-tetradecanoic acid
LMFA01020290	C22H32O4	7,9,13,17-tetramethyl-7S,14S-dihydroxy-2E,4E,8E,10E,12E,16-octadecahexaenoic acid
LMFA01020291	C8H16O2	Valproic acid
LMFA01020292	C18H36O2	14-Methylheptadecanoic acid
LMFA01020293	C24H48O2	Mycosanoic acid (C24)
LMFA01020294	C25H50O2	Mycosanoic  acid (C25)
LMFA01020295	C26H52O2	Mycosanoic  acid (C26)
LMFA01020296	C31H62O2	Phthioceranic acid (C31)
LMFA01020297	C33H66O2	Phthioceranic acid (C33)
LMFA01020298	C34H68O2	Phthioceranic acid (C34)
LMFA01020299	C36H72O2	Phthioceranic acid (C36)
LMFA01020300	C37H74O2	Phthioceranic acid (C37)
LMFA01020301	C39H78O2	Phthioceranic acid (C39)
LMFA01020302	C40H80O2	Phthioceranic acid (C40)
LMFA01020303	C42H84O2	Phthioceranic acid (C42)
LMFA01020304	C43H86O2	Phthioceranic acid (C43)
LMFA01020305	C45H90O2	Phthioceranic acid (C45)
LMFA01020306	C46H92O2	Phthioceranic acid (C46)
LMFA01020307	C48H96O2	Phthioceranic acid (C48)
LMFA01020308	C24H48O2	Mycocerosic acid (C24)
LMFA01020309	C25H50O2	Mycocerosic acid (C25)
LMFA01020310	C26H52O2	Mycocerosic acid (C26)
LMFA01020311	C27H54O2	Mycocerosic acid (C27)
LMFA01020312	C28H56O2	Mycocerosic acid (C28)
LMFA01020313	C29H58O2	Mycocerosic acid (C29)
LMFA01020314	C30H60O2	Mycocerosic acid (C30)
